TIMESTAMP_START,tmax,tmin,tmean,wind,rh,rn,prec
2010-10-15,30.99,23.17,26.869791666666668,2.4770208333333334,66.659375,13.027716,0.0
2010-10-16,29.35,20.45,24.89125,2.3077083333333333,60.74541666666667,12.252888,0.0
2010-10-17,29.33,21.77,25.219375,2.2958541666666665,68.73229166666667,10.951866,0.0
2010-10-18,28.96,22.32,25.534791666666667,2.25425,69.6335625,11.880127799999999,0.0
2010-10-19,31.06,23.4,27.053124999999998,1.5603541666666667,74.53875000000001,11.187828,0.0
2010-10-20,31.7,24.09,27.31958333333333,1.4639583333333333,77.19104166666666,11.274138,0.0
2010-10-21,31.15,24.37,27.507499999999997,1.8457083333333333,73.5660625,12.637296000000003,0.0
2010-10-22,31.13,25.14,27.9075,2.780375,74.16145833333333,12.833623800000002,0.0
2010-10-23,31.24,25.5,28.249375,3.751375,76.60166666666667,11.114802,0.0
2010-10-24,31.65,26.76,28.930208333333336,3.3089583333333334,76.955625,11.222767800000002,0.0
2010-10-25,31.79,26.85,29.063125,2.9694583333333333,78.23875,10.480212,0.0
2010-10-26,31.92,27.35,29.269166666666667,2.7100416666666667,78.32895833333333,8.644338,0.254
2010-10-27,32.73,27.45,29.6350625,2.3586875,78.24070833333333,11.963448,0.0
2010-10-28,32.08,27.04,29.0325,1.9507083333333333,76.974375,10.70883,0.0
2010-10-29,32.43,26.01,28.489583333333332,1.235625,76.165,11.016342,0.0
2010-10-30,31.22,24.43,27.565625,2.595,74.45104166666667,9.311634,0.0
2010-10-31,31.36,24.76,27.46083333333333,1.4540833333333334,79.06439583333334,8.082756,3.302
2010-11-01,30.58,26.21,27.781458333333333,1.5262291666666667,81.42739130434782,7.675847999999999,6.8580000000000005
2010-11-02,29.72,24.77,27.088333333333335,2.431020833333333,75.06422916666666,9.67203,0.0
2010-11-03,29.47,24.12,26.466041666666666,2.310916666666667,82.25104166666667,8.266554,6.604
2010-11-04,29.28,23.08,25.966041666666666,2.256125,83.1772340425532,5.218722,18.288
2010-11-05,25.5,16.15,20.645,3.6159166666666667,60.4125,9.834229800000001,0.0
2010-11-06,18.34,13.3,15.629604166666667,3.2197291666666668,46.931895833333336,7.893036,0.0
2010-11-07,23.05,11.52,16.9675,4.335666666666667,54.89022916666667,9.413262,0.0
2010-11-08,24.46,16.101,19.1573125,3.1386041666666666,61.766062500000004,7.686090000000001,0.0
2010-11-09,25.55,15.68,19.81897916666667,1.6229375,60.7141875,9.909937799999998,0.0
2010-11-10,27.35,15.38,20.968125,1.0797291666666666,61.55895833333333,10.5698358,0.0
2010-11-11,27.57,17.73,22.194374999999997,2.151479166666667,64.983125,9.137845800000001,0.0
2010-11-12,27.31,19.11,22.548125,2.751666666666667,67.5154347826087,8.625781799999999,1.27
2010-11-13,26.65,18.11,22.154583333333335,2.501708333333333,67.46145833333334,8.591886,0.0
2010-11-14,27.07,18.38,22.32375,1.8218750000000001,67.80104166666666,9.439254,0.0
2010-11-15,27.36,18.47,22.671041666666667,1.2179583333333335,63.256875,10.516626,0.0
2010-11-16,28.7,20.45,24.260208333333335,1.7062708333333332,70.93604166666667,10.2102516,0.0
2010-11-17,30.86,20.97,25.550416666666667,0.8872291666666667,67.10979166666667,11.1887838,0.0
2010-11-18,28.72,21.98,25.11916666666667,1.1275833333333334,72.71583333333334,5.1340698,9.652
2010-11-19,26.49,19.03,22.285833333333333,3.2354583333333333,63.40085416666667,7.62714,0.0
2010-11-20,27.74,19.34,23.27270833333333,2.1571041666666666,68.54958333333333,8.709228,0.0
2010-11-21,28.08,19.84,23.773958333333336,2.6009166666666665,74.7904375,8.718263999999998,0.0
2010-11-22,27.88,20.82,24.170416666666668,2.811958333333333,74.32145833333333,7.1208396,0.0
2010-11-23,28.48,20.31,23.488958333333333,2.197125,75.350625,7.2680976,0.0
2010-11-24,28.77,20.54,23.796875,2.0382291666666665,77.26816666666666,8.146080000000001,0.0
2010-11-25,28.57,20.65,24.58604166666667,2.276479166666667,77.74187500000001,8.986356,0.0
2010-11-26,28.9,22.99,25.535625,1.6141458333333334,76.96064583333333,4.054752,0.0
2010-11-27,29.51,23.16,25.773124999999997,1.0908333333333333,78.45083333333334,7.5511818,0.0
2010-11-28,28.94,20.91,24.550416666666667,1.9185833333333333,78.27166666666666,7.587324000000001,0.0
2010-11-29,29.58,21.96,25.515,2.2033333333333336,76.189375,9.884538,1.016
2010-11-30,29.58,23.05,25.822916666666668,2.2577708333333333,80.134625,9.372475799999998,0.254
2010-12-01,29.06,15.89,23.02333333333333,2.2778541666666667,73.08875,6.3389538,0.0
2010-12-02,21.97,12.17,16.400000000000002,3.6115,58.68479166666666,6.421229999999999,0.0
2010-12-03,21.82,10.86,15.575666666666665,2.9047916666666667,55.45229166666667,6.238695600000001,0.0
2010-12-04,22.81,12.59,16.729166666666668,1.7453333333333332,62.74666666666667,6.66639,0.0
2010-12-05,24.4,13.15,19.043541666666666,2.04175,69.56354166666667,9.3433716,0.254
2010-12-06,17.71,8.22,12.685437499999999,3.2897916666666664,50.51145833333334,5.600016,0.0
2010-12-07,15.7,5.92,10.19,2.6202083333333333,46.428333333333335,5.501484,0.0
2010-12-08,16.33,4.74,10.103958333333333,1.2086875000000001,46.38,6.055470000000001,0.0
2010-12-09,12.57,9.94,11.17,2.7192291666666666,59.867355555555555,0.5305698000000001,1.524
2010-12-10,23.56,8.52,15.4641875,1.9239791666666666,61.840624999999996,8.158755600000001,0.0
2010-12-11,25.43,11.75,17.518125,1.5687499999999999,67.0848125,8.687358000000001,0.0
2010-12-12,24.99,13.09,18.448333333333334,2.833979166666667,64.55397916666666,8.970895800000001,0.0
2010-12-13,17.21,6.94,13.550854166666667,4.359208333333333,45.868125,5.590134,0.0
2010-12-14,10.47,1.31,5.927083333333333,2.541729166666667,40.227619047619044,5.049108,0.0
2010-12-15,14.39,1.38,7.068333333333334,1.6047500000000001,38.8565,5.8244777999999995,0.0
2010-12-16,22.33,4.89,13.379791666666668,1.6861041666666667,53.580000000000005,7.4530098,0.0
2010-12-17,25.21,10.7,17.252083333333335,1.79725,63.66377083333333,8.952372,0.0
2010-12-18,26.46,15.22,19.356895833333333,1.7350416666666666,54.47169047619048,5.915773799999999,14.982
2010-12-19,23.06,13.79,19.00979166666667,2.315583333333333,62.48023913043478,8.0179398,0.254
2010-12-20,19.74,11.06,14.4475,2.561916666666667,61.371521739130436,7.644744,0.0
2010-12-21,23.49,11.01,16.627708333333334,1.2561875,57.70710416666666,7.592868000000001,0.0
2010-12-22,23.75,12.37,17.389374999999998,1.7216041666666666,55.221063829787234,9.128322,0.0
2010-12-23,25.04,13.17,18.407104166666667,2.082104166666667,62.034615384615385,8.129268,0.0
2010-12-24,22.81,10.05,15.583333333333334,2.3312291666666667,59.560854166666665,6.90822,0.0
2010-12-25,23.94,12.33,17.947083333333335,1.9092083333333332,61.61541666666667,8.001918000000002,0.0
2010-12-26,21.13,9.31,15.85875,4.3545625,56.49977272727272,6.556428000000001,9.652
2010-12-27,13.99,5.14,8.836875000000001,2.6396041666666665,49.42791666666667,6.347917799999999,0.0
2010-12-28,15.95,1.82,7.873541666666667,1.7581041666666666,49.27906976744186,6.755562,0.0
2010-12-29,20.6,5.89,13.135416666666666,1.624625,54.94958333333333,8.636868,0.0
2010-12-30,23.68,14.22,18.864166666666666,2.1882291666666664,64.984375,7.9011198,0.0
2010-12-31,24.78,15.08,20.55982608695652,2.9183478260869564,67.33567391304348,6.7532118260869565,0.0
2011-01-01,25.5,14.8,19.77958333333333,2.234375,66.85833333333333,5.614362,0.0
2011-01-02,26.7,16.6,21.039583333333333,1.5406250000000001,65.74302083333333,8.01054,0.0
2011-01-03,26.8,19.5,22.014583333333334,1.155625,72.26827083333333,6.634620000000001,0.0
2011-01-04,27.1,17.3,21.847916666666666,1.065,64.69716666666666,9.16686,0.0
2011-01-05,26.4,17.9,21.79375,1.6929166666666668,78.5668125,8.3482218,0.0
2011-01-06,26.9,15.6,21.1354375,3.3025,73.35187234042553,6.7762818,0.6
2011-01-07,20.1,11.7,15.000020833333332,2.1910416666666666,66.0991875,7.92846,0.0
2011-01-08,23.4,13.5,17.683354166666668,2.1558333333333333,67.438125,8.73918,0.0
2011-01-09,23.9,11.6,17.0125,1.8427083333333334,62.44205555555555,9.2268,0.0
2011-01-10,27.2,15.4,21.1479375,2.079375,70.76558695652174,7.6471218,0.0
